Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

0,29	0,02	0,29
0,30	0,02	0,30
0,33	0,02	0,33
0,60	0,02	0,60
0,98	0,02	0,98
1,38	0,02	1,38
1,82	0,02	1,82
2,27	0,02	2,27
2,71	0,02	2,71
3,16	0,02	3,16
3,58	0,02	3,58
4,00	0,02	4,00
4,42	0,02	4,42
4,84	0,03	4,84
5,25	0,02	5,25
5,64	0,03	5,64
6,03	0,03	6,03
6,42	0,03	6,42
6,81	0,03	6,81
7,19	0,03	7,19
7,57	0,03	7,57
7,94	0,03	7,94
8,30	0,03	8,30
8,65	0,03	8,65
9,01	0,03	9,01
9,36	0,03	9,36
9,70	0,03	9,70
10,05	0,04	10,05
10,38	0,04	10,38
10,71	0,04	10,71
11,03	0,04	11,03
11,37	0,04	11,37
11,67	0,04	11,67
11,99	0,04	11,99
12,30	0,04	12,30
12,60	0,04	12,60
12,91	0,04	12,91
13,21	0,04	13,21
13,51	0,04	13,51
13,79	0,04	13,79
14,08	0,04	14,08
14,35	0,04	14,35
14,63	0,04	14,63
14,91	0,04	14,91
15,18	0,04	15,18
15,45	0,04	15,45
15,70	0,04	15,70
15,97	0,04	15,97
16,23	0,04	16,23
16,48	0,05	16,48
16,73	0,05	16,73
16,98	0,05	16,98
17,22	0,05	17,22
17,46	0,05	17,46
17,70	0,05	17,70
17,94	0,05	17,94
18,17	0,05	18,17
18,40	0,05	18,40
18,62	0,06	18,62
18,85	0,06	18,85
19,07	0,06	19,07
19,28	0,06	19,28
19,51	0,06	19,51
19,70	0,06	19,70
19,93	0,06	19,93
20,12	0,06	20,12
20,34	0,06	20,34
20,53	0,06	20,53
20,73	0,06	20,73
20,94	0,06	20,94
21,12	0,07	21,12
21,31	0,07	21,31
21,51	0,07	21,51
21,69	0,07	21,69
21,87	0,07	21,87
22,05	0,07	22,05
22,23	0,07	22,23
22,41	0,08	22,41
22,59	0,07	22,59
22,76	0,08	22,76
22,94	0,08	22,94
23,10	0,08	23,10
23,27	0,08	23,27
23,43	0,08	23,43
23,60	0,09	23,60
23,76	0,09	23,76
23,93	0,09	23,93
24,08	0,09	24,08
24,23	0,09	24,23
24,38	0,09	24,38
24,53	0,09	24,53
24,68	0,09	24,68
24,83	0,10	24,83
24,97	0,10	24,97
25,13	0,10	25,13
25,27	0,10	25,27
25,40	0,10	25,40
25,54	0,10	25,54
25,68	0,10	25,68
25,81	0,11	25,81
25,95	0,11	25,95
26,08	0,11	26,08
26,20	0,11	26,20
26,34	0,11	26,34
26,46	0,11	26,46
26,59	0,11	26,59
26,71	0,11	26,71
26,85	0,12	26,85
26,97	0,12	26,97
27,07	0,12	27,07
27,19	0,12	27,19
27,31	0,12	27,31
27,42	0,12	27,42
27,54	0,13	27,54
27,66	0,13	27,66
27,77	0,13	27,77
27,87	0,13	27,87
27,99	0,13	27,99
28,08	0,13	28,08
28,20	0,13	28,20
28,31	0,14	28,31
28,40	0,14	28,40
28,52	0,14	28,52
28,61	0,14	28,61
28,71	0,14	28,71
28,82	0,14	28,82
28,89	0,14	28,89
29,01	0,14	29,01
29,09	0,15	29,09
29,18	0,15	29,18
29,28	0,15	29,28
29,38	0,15	29,38
29,45	0,15	29,45
29,56	0,15	29,56
29,65	0,15	29,65
29,74	0,16	29,74
29,83	0,16	29,83
29,90	0,16	29,90
29,99	0,16	29,99
30,07	0,16	30,07
30,08	0,17	30,08
30,14	0,16	30,14
30,23	0,16	30,23
30,32	0,16	30,32
30,40	0,17	30,40
30,47	0,17	30,47
30,55	0,17	30,55
30,62	0,17	30,62
30,71	0,17	30,71
