Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

0,38	0,23	0,38
0,38	0,23	0,38
0,36	0,23	0,36
0,38	0,23	0,38
0,38	0,21	0,38
0,36	0,23	0,36
0,38	0,23	0,38
0,38	0,23	0,38
0,38	0,23	0,38
0,38	0,23	0,38
0,38	0,21	0,38
0,38	0,23	0,38
0,38	0,21	0,38
0,38	0,23	0,38
0,38	0,23	0,38
0,38	0,21	0,38
0,38	0,23	0,38
0,36	0,23	0,36
0,38	0,21	0,38
0,36	0,23	0,36
0,36	0,23	0,36
0,38	0,21	0,38
0,38	0,23	0,38
0,36	0,23	0,36
0,38	0,21	0,38
0,38	0,24	0,38
0,38	0,23	0,38
0,36	0,21	0,36
0,36	0,24	0,36
0,36	0,23	0,36
0,39	0,21	0,39
0,41	0,23	0,41
0,44	0,23	0,44
0,50	0,23	0,50
0,54	0,23	0,54
0,60	0,21	0,60
0,66	0,23	0,66
0,71	0,23	0,71
0,77	0,21	0,77
0,81	0,23	0,81
0,89	0,23	0,89
0,96	0,23	0,96
1,04	0,21	1,04
1,11	0,21	1,11
1,19	0,21	1,19
1,26	0,21	1,26
1,34	0,23	1,34
1,43	0,23	1,43
1,52	0,21	1,52
1,59	0,24	1,59
1,68	0,23	1,68
1,76	0,23	1,76
1,84	0,21	1,84
1,93	0,23	1,93
2,00	0,23	2,00
2,09	0,23	2,09
2,17	0,23	2,17
2,26	0,23	2,26
2,35	0,21	2,35
2,41	0,23	2,41
2,50	0,23	2,50
2,57	0,23	2,57
2,66	0,21	2,66
2,72	0,23	2,72
2,81	0,23	2,81
2,89	0,23	2,89
2,96	0,23	2,96
3,05	0,23	3,05
3,13	0,21	3,13
3,20	0,23	3,20
3,29	0,23	3,29
3,35	0,23	3,35
3,44	0,23	3,44
3,52	0,23	3,52
3,61	0,23	3,61
3,67	0,23	3,67
3,76	0,23	3,76
3,84	0,23	3,84
3,91	0,23	3,91
3,99	0,23	3,99
4,06	0,23	4,06
4,14	0,24	4,14
4,20	0,23	4,20
4,29	0,23	4,29
4,36	0,23	4,36
4,44	0,24	4,44
4,51	0,23	4,51
4,59	0,23	4,59
4,66	0,24	4,66
4,74	0,23	4,74
4,81	0,24	4,81
4,87	0,23	4,87
4,95	0,23	4,95
5,02	0,23	5,02
5,08	0,23	5,08
5,17	0,23	5,17
5,25	0,23	5,25
5,32	0,24	5,32
5,40	0,23	5,40
5,47	0,23	5,47
5,54	0,24	5,54
5,60	0,24	5,60
5,69	0,24	5,69
5,75	0,23	5,75
5,82	0,23	5,82
