Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

0,15	0,03	0,15
0,17	0,03	0,17
0,21	0,03	0,21
0,44	0,03	0,44
0,74	0,03	0,74
1,10	0,03	1,10
1,49	0,03	1,49
1,91	0,03	1,91
2,33	0,03	2,33
2,74	0,03	2,74
3,16	0,04	3,16
3,58	0,04	3,58
4,02	0,04	4,02
4,44	0,05	4,44
4,84	0,05	4,84
5,26	0,06	5,26
5,66	0,07	5,66
6,05	0,08	6,05
6,44	0,09	6,44
6,81	0,11	6,81
7,20	0,12	7,20
7,58	0,13	7,58
7,96	0,15	7,96
8,32	0,16	8,32
8,68	0,17	8,68
9,02	0,18	9,02
9,37	0,19	9,37
9,73	0,21	9,73
10,06	0,23	10,06
10,39	0,25	10,39
10,72	0,27	10,72
11,06	0,29	11,06
11,37	0,31	11,37
11,69	0,33	11,69
12,00	0,35	12,00
12,32	0,37	12,32
12,60	0,38	12,60
12,92	0,40	12,92
13,22	0,40	13,22
13,51	0,42	13,51
13,79	0,44	13,79
14,08	0,45	14,08
14,36	0,48	14,36
14,63	0,51	14,63
14,91	0,54	14,91
15,18	0,58	15,18
15,45	0,61	15,45
15,72	0,65	15,72
15,97	0,68	15,97
16,23	0,70	16,23
16,48	0,72	16,48
16,74	0,74	16,74
16,98	0,75	16,98
17,22	0,76	17,22
17,46	0,77	17,46
17,70	0,78	17,70
17,94	0,80	17,94
18,17	0,82	18,17
18,40	0,84	18,40
18,64	0,88	18,64
18,85	0,92	18,85
19,07	0,96	19,07
19,28	1,02	19,28
19,49	1,07	19,49
19,72	1,13	19,72
19,93	1,18	19,93
20,12	1,23	20,12
20,32	1,27	20,32
20,53	1,31	20,53
20,73	1,33	20,73
20,92	1,35	20,92
21,12	1,35	21,12
21,31	1,36	21,31
21,49	1,36	21,49
21,69	1,36	21,69
21,87	1,36	21,87
22,04	1,37	22,04
22,23	1,38	22,23
22,40	1,40	22,40
22,58	1,42	22,58
22,74	1,45	22,74
22,92	1,49	22,92
23,09	1,54	23,09
23,25	1,58	23,25
23,42	1,64	23,42
23,57	1,70	23,57
23,75	1,77	23,75
23,90	1,84	23,90
24,05	1,91	24,05
24,20	1,98	24,20
24,37	2,04	24,37
24,50	2,10	24,50
24,67	2,16	24,67
24,82	2,21	24,82
24,95	2,25	24,95
25,09	2,27	25,09
25,24	2,29	25,24
25,37	2,30	25,37
25,51	2,29	25,51
25,66	2,29	25,66
25,80	2,28	25,80
25,92	2,26	25,92
26,05	2,25	26,05
26,19	2,24	26,19
26,31	2,23	26,31
26,43	2,23	26,43
26,56	2,23	26,56
26,68	2,24	26,68
26,80	2,25	26,80
26,92	2,27	26,92
27,04	2,30	27,04
27,16	2,33	27,16
27,27	2,36	27,27
27,39	2,41	27,39
27,50	2,46	27,50
27,62	2,50	27,62
27,74	2,56	27,74
27,84	2,62	27,84
27,95	2,68	27,95
28,05	2,74	28,05
28,16	2,82	28,16
28,26	2,88	28,26
28,37	2,96	28,37
28,47	3,03	28,47
28,56	3,11	28,56
28,67	3,18	28,67
28,76	3,26	28,76
28,86	3,33	28,86
28,95	3,39	28,95
29,04	3,45	29,04
29,13	3,51	29,13
29,24	3,56	29,24
29,33	3,60	29,33
29,42	3,63	29,42
29,51	3,66	29,51
29,60	3,68	29,60
29,68	3,69	29,68
29,77	3,69	29,77
29,86	3,68	29,86
29,93	3,67	29,93
30,02	3,66	30,02
30,10	3,64	30,10
30,17	3,61	30,17
30,26	3,59	30,26
30,34	3,56	30,34
30,41	3,54	30,41
30,49	3,51	30,49
30,56	3,49	30,56
30,64	3,47	30,64
30,71	3,46	30,71
