Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

0,30	0,11	0,30
0,39	0,11	0,39
0,51	0,11	0,51
0,68	0,11	0,68
0,83	0,11	0,83
1,01	0,11	1,01
1,14	0,11	1,14
1,29	0,12	1,29
1,44	0,12	1,44
1,59	0,12	1,59
1,76	0,12	1,76
1,90	0,13	1,90
2,03	0,13	2,03
2,18	0,13	2,18
2,33	0,14	2,33
2,48	0,15	2,48
2,63	0,15	2,63
2,80	0,16	2,80
2,95	0,17	2,95
3,08	0,18	3,08
3,22	0,19	3,22
3,37	0,20	3,37
3,52	0,22	3,52
3,65	0,23	3,65
3,81	0,25	3,81
3,93	0,27	3,93
4,06	0,28	4,06
4,21	0,30	4,21
4,33	0,32	4,33
4,47	0,33	4,47
4,60	0,34	4,60
4,72	0,35	4,72
4,84	0,36	4,84
4,96	0,36	4,96
5,10	0,36	5,10
5,20	0,35	5,20
5,34	0,35	5,34
5,44	0,34	5,44
5,57	0,34	5,57
5,67	0,33	5,67
5,81	0,33	5,81
5,90	0,33	5,90
6,02	0,33	6,02
6,12	0,33	6,12
6,23	0,33	6,23
6,33	0,33	6,33
6,45	0,34	6,45
6,54	0,34	6,54
6,65	0,35	6,65
6,75	0,36	6,75
6,84	0,38	6,84
6,95	0,39	6,95
7,04	0,40	7,04
7,13	0,42	7,13
7,23	0,43	7,23
7,32	0,45	7,32
7,42	0,47	7,42
7,51	0,49	7,51
7,60	0,51	7,60
7,69	0,53	7,69
7,78	0,55	7,78
7,87	0,57	7,87
7,94	0,59	7,94
8,03	0,62	8,03
8,11	0,64	8,11
8,18	0,66	8,18
8,27	0,68	8,27
8,36	0,70	8,36
8,44	0,73	8,44
8,51	0,75	8,51
8,59	0,78	8,59
8,66	0,80	8,66
8,74	0,83	8,74
8,81	0,85	8,81
8,89	0,87	8,89
8,96	0,89	8,96
9,04	0,91	9,04
9,10	0,92	9,10
9,16	0,93	9,16
9,25	0,94	9,25
9,31	0,94	9,31
9,39	0,94	9,39
9,45	0,93	9,45
9,51	0,92	9,51
9,58	0,91	9,58
9,64	0,90	9,64
9,70	0,88	9,70
9,76	0,87	9,76
9,82	0,85	9,82
9,88	0,83	9,88
9,94	0,81	9,94
10,00	0,80	10,00
10,06	0,79	10,06
10,12	0,77	10,12
10,18	0,76	10,18
10,24	0,75	10,24
10,29	0,75	10,29
10,35	0,74	10,35
10,39	0,73	10,39
10,45	0,72	10,45
10,51	0,72	10,51
10,56	0,73	10,56
10,62	0,73	10,62
10,66	0,73	10,66
10,71	0,74	10,71
