Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

0,36	0,02	0,36
0,38	0,02	0,38
0,63	0,02	0,63
0,99	0,02	0,99
1,35	0,02	1,35
1,84	0,02	1,84
2,32	0,02	2,32
2,80	0,02	2,80
3,26	0,02	3,26
3,73	0,03	3,73
4,20	0,03	4,20
4,65	0,03	4,65
5,10	0,03	5,10
5,52	0,03	5,52
5,97	0,04	5,97
6,39	0,03	6,39
6,81	0,04	6,81
7,22	0,04	7,22
7,63	0,04	7,63
8,03	0,05	8,03
8,42	0,05	8,42
8,83	0,06	8,83
9,22	0,06	9,22
9,60	0,06	9,60
9,97	0,06	9,97
10,35	0,07	10,35
10,71	0,08	10,71
11,07	0,08	11,07
11,43	0,09	11,43
11,78	0,09	11,78
12,12	0,10	12,12
12,47	0,11	12,47
12,81	0,11	12,81
13,15	0,11	13,15
13,46	0,11	13,46
13,79	0,12	13,79
14,12	0,12	14,12
14,44	0,12	14,44
14,73	0,13	14,73
15,06	0,14	15,06
15,36	0,15	15,36
15,66	0,16	15,66
15,96	0,18	15,96
16,24	0,19	16,24
16,53	0,20	16,53
16,82	0,20	16,82
17,10	0,21	17,10
17,37	0,21	17,37
17,64	0,21	17,64
17,91	0,21	17,91
18,18	0,21	18,18
18,44	0,21	18,44
18,71	0,21	18,71
18,97	0,22	18,97
19,21	0,23	19,21
19,46	0,24	19,46
19,70	0,26	19,70
19,94	0,28	19,94
20,20	0,30	20,20
20,43	0,32	20,43
20,67	0,34	20,67
20,89	0,35	20,89
21,13	0,36	21,13
21,34	0,37	21,34
21,57	0,36	21,57
21,78	0,36	21,78
22,01	0,36	22,01
22,22	0,35	22,22
22,43	0,35	22,43
22,64	0,34	22,64
22,85	0,34	22,85
23,06	0,34	23,06
23,24	0,34	23,24
23,45	0,35	23,45
23,64	0,36	23,64
23,84	0,38	23,84
24,02	0,40	24,02
24,22	0,42	24,22
24,40	0,45	24,40
24,58	0,48	24,58
24,76	0,51	24,76
24,95	0,54	24,95
25,13	0,56	25,13
25,30	0,58	25,30
25,46	0,59	25,46
25,63	0,59	25,63
25,81	0,60	25,81
25,98	0,59	25,98
26,14	0,59	26,14
26,31	0,59	26,31
26,46	0,58	26,46
26,62	0,57	26,62
26,77	0,56	26,77
26,92	0,55	26,92
27,07	0,54	27,07
27,24	0,53	27,24
27,39	0,52	27,39
27,54	0,52	27,54
27,68	0,52	27,68
27,83	0,52	27,83
27,96	0,53	27,96
28,10	0,54	28,10
28,23	0,56	28,23
28,38	0,57	28,38
28,50	0,60	28,50
28,65	0,62	28,65
28,77	0,65	28,77
28,91	0,68	28,91
29,03	0,71	29,03
29,16	0,75	29,16
29,28	0,78	29,28
29,42	0,81	29,42
29,54	0,85	29,54
29,65	0,87	29,65
29,77	0,89	29,77
29,89	0,91	29,89
30,01	0,92	30,01
30,08	0,87	30,08
30,13	0,93	30,13
30,23	0,93	30,23
30,35	0,93	30,35
30,46	0,92	30,46
30,56	0,91	30,56
30,68	0,90	30,68
30,77	0,89	30,77
