Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

0,50	0,38	0,50
0,51	0,38	0,51
0,51	0,38	0,51
0,51	0,38	0,51
0,51	0,38	0,51
0,51	0,38	0,51
0,51	0,38	0,51
0,50	0,38	0,50
0,51	0,38	0,51
0,51	0,36	0,51
0,51	0,38	0,51
0,50	0,38	0,50
0,50	0,38	0,50
0,50	0,38	0,50
0,51	0,36	0,51
0,51	0,38	0,51
0,51	0,38	0,51
0,51	0,38	0,51
0,50	0,38	0,50
0,50	0,38	0,50
0,51	0,38	0,51
0,51	0,38	0,51
0,50	0,38	0,50
0,50	0,38	0,50
0,51	0,39	0,51
0,50	0,38	0,50
0,50	0,38	0,50
0,50	0,38	0,50
0,51	0,38	0,51
0,51	0,38	0,51
0,56	0,39	0,56
0,59	0,38	0,59
0,63	0,38	0,63
0,69	0,38	0,69
0,74	0,38	0,74
0,78	0,38	0,78
0,83	0,38	0,83
0,87	0,38	0,87
0,93	0,38	0,93
0,99	0,36	0,99
1,05	0,38	1,05
1,13	0,38	1,13
1,19	0,38	1,19
1,28	0,38	1,28
1,35	0,38	1,35
1,43	0,39	1,43
1,50	0,38	1,50
1,58	0,38	1,58
1,65	0,38	1,65
1,73	0,38	1,73
1,80	0,39	1,80
1,88	0,39	1,88
1,97	0,39	1,97
2,05	0,39	2,05
2,11	0,39	2,11
2,20	0,39	2,20
2,27	0,38	2,27
2,35	0,39	2,35
2,42	0,39	2,42
2,50	0,41	2,50
2,57	0,41	2,57
2,65	0,41	2,65
2,72	0,41	2,72
2,80	0,41	2,80
2,87	0,42	2,87
2,93	0,42	2,93
3,02	0,42	3,02
3,10	0,44	3,10
3,16	0,42	3,16
3,25	0,44	3,25
3,32	0,45	3,32
3,40	0,45	3,40
3,47	0,44	3,47
3,53	0,45	3,53
3,61	0,45	3,61
3,69	0,45	3,69
3,76	0,47	3,76
3,82	0,47	3,82
3,90	0,47	3,90
3,97	0,50	3,97
4,05	0,48	4,05
4,12	0,48	4,12
4,18	0,50	4,18
4,26	0,50	4,26
4,32	0,51	4,32
4,39	0,51	4,39
4,47	0,53	4,47
4,54	0,53	4,54
4,60	0,54	4,60
4,66	0,54	4,66
4,74	0,54	4,74
4,81	0,56	4,81
4,89	0,54	4,89
4,95	0,56	4,95
5,02	0,56	5,02
5,10	0,57	5,10
5,16	0,57	5,16
5,22	0,59	5,22
5,29	0,59	5,29
5,35	0,62	5,35
5,43	0,62	5,43
5,49	0,62	5,49
5,57	0,62	5,57
5,63	0,62	5,63
5,70	0,63	5,70
