Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

0,20	0,03	0,20
0,21	0,03	0,21
0,24	0,03	0,24
0,51	0,03	0,51
0,90	0,03	0,90
1,34	0,02	1,34
1,79	0,03	1,79
2,23	0,03	2,23
2,65	0,03	2,65
3,07	0,03	3,07
3,49	0,03	3,49
3,90	0,03	3,90
4,30	0,03	4,30
4,71	0,03	4,71
5,11	0,04	5,11
5,49	0,03	5,49
5,87	0,04	5,87
6,24	0,04	6,24
6,63	0,04	6,63
6,99	0,04	6,99
7,36	0,05	7,36
7,72	0,05	7,72
8,06	0,05	8,06
8,44	0,05	8,44
8,81	0,05	8,81
9,16	0,05	9,16
9,54	0,06	9,54
9,88	0,06	9,88
10,24	0,06	10,24
10,59	0,06	10,59
10,92	0,06	10,92
11,27	0,06	11,27
11,60	0,07	11,60
11,91	0,07	11,91
12,23	0,07	12,23
12,56	0,07	12,56
12,88	0,08	12,88
13,18	0,08	13,18
13,49	0,08	13,49
13,78	0,08	13,78
14,09	0,08	14,09
14,39	0,09	14,39
14,68	0,09	14,68
14,97	0,09	14,97
15,24	0,09	15,24
15,52	0,10	15,52
15,81	0,10	15,81
16,08	0,10	16,08
16,33	0,11	16,33
16,61	0,11	16,61
16,86	0,11	16,86
17,13	0,11	17,13
17,37	0,12	17,37
17,63	0,12	17,63
17,88	0,12	17,88
18,12	0,13	18,12
18,37	0,13	18,37
18,61	0,13	18,61
18,83	0,13	18,83
19,07	0,14	19,07
19,30	0,14	19,30
19,54	0,14	19,54
19,75	0,14	19,75
19,97	0,15	19,97
20,19	0,15	20,19
20,41	0,15	20,41
20,62	0,16	20,62
20,83	0,16	20,83
21,04	0,16	21,04
21,25	0,16	21,25
21,45	0,17	21,45
21,64	0,17	21,64
21,85	0,17	21,85
22,04	0,18	22,04
22,25	0,18	22,25
22,43	0,18	22,43
22,61	0,18	22,61
22,80	0,18	22,80
22,97	0,19	22,97
23,16	0,19	23,16
23,33	0,20	23,33
23,51	0,20	23,51
23,69	0,20	23,69
23,86	0,20	23,86
24,02	0,20	24,02
24,20	0,21	24,20
24,35	0,21	24,35
24,52	0,22	24,52
24,68	0,22	24,68
24,85	0,22	24,85
25,00	0,22	25,00
25,16	0,23	25,16
25,31	0,23	25,31
25,46	0,23	25,46
25,61	0,23	25,61
25,77	0,24	25,77
25,92	0,24	25,92
26,07	0,24	26,07
26,19	0,24	26,19
26,34	0,24	26,34
26,47	0,25	26,47
26,61	0,25	26,61
26,76	0,25	26,76
26,89	0,25	26,89
27,03	0,26	27,03
