Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

0,27	0,02	0,27
0,50	0,02	0,50
0,93	0,02	0,93
1,38	0,02	1,38
1,82	0,02	1,82
2,24	0,02	2,24
2,69	0,02	2,69
3,13	0,02	3,13
3,56	0,02	3,56
3,99	0,02	3,99
4,41	0,02	4,41
4,81	0,02	4,81
5,23	0,02	5,23
5,64	0,02	5,64
6,06	0,03	6,06
6,48	0,02	6,48
6,89	0,03	6,89
7,29	0,03	7,29
7,70	0,03	7,70
8,09	0,03	8,09
8,47	0,03	8,47
8,86	0,03	8,86
9,24	0,03	9,24
9,61	0,03	9,61
9,97	0,03	9,97
10,35	0,03	10,35
10,69	0,04	10,69
11,06	0,04	11,06
11,40	0,04	11,40
11,75	0,04	11,75
12,08	0,04	12,08
12,41	0,04	12,41
12,74	0,04	12,74
13,07	0,04	13,07
13,39	0,04	13,39
13,70	0,04	13,70
14,03	0,04	14,03
14,33	0,04	14,33
14,63	0,04	14,63
14,94	0,04	14,94
15,22	0,04	15,22
15,52	0,04	15,52
15,81	0,04	15,81
16,09	0,04	16,09
16,38	0,04	16,38
16,65	0,04	16,65
16,92	0,04	16,92
17,21	0,05	17,21
17,46	0,05	17,46
17,73	0,05	17,73
17,99	0,05	17,99
18,24	0,05	18,24
18,49	0,05	18,49
18,74	0,05	18,74
19,00	0,05	19,00
19,24	0,05	19,24
19,48	0,05	19,48
19,72	0,05	19,72
19,96	0,05	19,96
20,19	0,05	20,19
20,41	0,05	20,41
20,64	0,05	20,64
20,86	0,06	20,86
21,09	0,05	21,09
21,30	0,06	21,30
21,51	0,06	21,51
21,72	0,05	21,72
21,93	0,06	21,93
22,14	0,06	22,14
22,35	0,06	22,35
22,55	0,06	22,55
22,74	0,06	22,74
22,94	0,06	22,94
23,13	0,06	23,13
23,33	0,06	23,33
23,52	0,06	23,52
23,70	0,06	23,70
23,89	0,06	23,89
24,08	0,06	24,08
24,25	0,06	24,25
24,43	0,06	24,43
24,59	0,06	24,59
24,77	0,06	24,77
24,95	0,06	24,95
25,12	0,06	25,12
25,28	0,06	25,28
25,45	0,06	25,45
25,61	0,06	25,61
25,78	0,07	25,78
25,93	0,06	25,93
26,08	0,07	26,08
26,25	0,06	26,25
26,40	0,07	26,40
