Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

0,08	0,23	0,08
0,08	0,23	0,08
0,08	0,23	0,08
0,08	0,24	0,08
0,08	0,24	0,08
0,08	0,23	0,08
0,08	0,24	0,08
0,08	0,24	0,08
0,08	0,24	0,08
0,08	0,23	0,08
0,08	0,23	0,08
0,08	0,24	0,08
0,08	0,23	0,08
0,08	0,24	0,08
0,08	0,24	0,08
0,08	0,23	0,08
0,08	0,23	0,08
0,08	0,24	0,08
0,08	0,24	0,08
0,08	0,23	0,08
0,08	0,24	0,08
0,08	0,23	0,08
0,08	0,23	0,08
0,08	0,23	0,08
0,08	0,24	0,08
0,08	0,24	0,08
0,08	0,23	0,08
0,08	0,24	0,08
0,08	0,23	0,08
0,08	0,23	0,08
0,08	0,23	0,08
0,08	0,24	0,08
0,08	0,24	0,08
0,08	0,23	0,08
0,08	0,24	0,08
0,08	0,24	0,08
0,11	0,24	0,11
0,11	0,24	0,11
0,14	0,24	0,14
0,17	0,24	0,17
0,20	0,23	0,20
0,23	0,24	0,23
0,26	0,24	0,26
0,29	0,24	0,29
0,33	0,23	0,33
0,36	0,23	0,36
0,41	0,23	0,41
0,47	0,23	0,47
0,51	0,24	0,51
0,56	0,24	0,56
0,62	0,24	0,62
0,66	0,23	0,66
0,71	0,24	0,71
0,75	0,24	0,75
0,80	0,23	0,80
0,84	0,24	0,84
0,90	0,24	0,90
0,95	0,24	0,95
1,01	0,23	1,01
1,05	0,24	1,05
1,11	0,24	1,11
1,16	0,24	1,16
1,20	0,24	1,20
1,26	0,24	1,26
1,31	0,24	1,31
1,35	0,24	1,35
1,41	0,24	1,41
1,46	0,23	1,46
1,50	0,24	1,50
1,55	0,24	1,55
1,61	0,24	1,61
1,65	0,24	1,65
1,70	0,24	1,70
1,76	0,24	1,76
1,80	0,26	1,80
1,85	0,24	1,85
1,90	0,26	1,90
1,96	0,24	1,96
1,99	0,24	1,99
2,05	0,26	2,05
2,09	0,26	2,09
2,14	0,26	2,14
2,18	0,26	2,18
2,24	0,26	2,24
2,27	0,26	2,27
2,32	0,26	2,32
2,36	0,26	2,36
2,42	0,26	2,42
2,45	0,26	2,45
2,51	0,26	2,51
2,56	0,26	2,56
2,60	0,26	2,60
2,65	0,26	2,65
2,69	0,26	2,69
2,74	0,27	2,74
2,78	0,26	2,78
2,84	0,26	2,84
2,87	0,26	2,87
2,92	0,26	2,92
2,96	0,26	2,96
3,01	0,26	3,01
3,07	0,26	3,07
3,10	0,27	3,10
3,14	0,26	3,14
3,19	0,26	3,19
