Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

0,41	0,07	0,41
0,42	0,07	0,42
0,48	0,08	0,48
0,62	0,08	0,62
0,78	0,08	0,78
0,98	0,07	0,98
1,17	0,08	1,17
1,37	0,08	1,37
1,55	0,08	1,55
1,74	0,08	1,74
1,93	0,08	1,93
2,11	0,09	2,11
2,29	0,09	2,29
2,47	0,09	2,47
2,63	0,10	2,63
2,81	0,10	2,81
2,98	0,10	2,98
3,16	0,11	3,16
3,32	0,11	3,32
3,49	0,12	3,49
3,65	0,12	3,65
3,82	0,12	3,82
3,97	0,12	3,97
4,14	0,13	4,14
4,29	0,14	4,29
4,45	0,14	4,45
4,60	0,14	4,60
4,75	0,14	4,75
4,89	0,15	4,89
5,04	0,16	5,04
5,19	0,16	5,19
5,32	0,17	5,32
5,46	0,17	5,46
5,61	0,18	5,61
5,75	0,18	5,75
5,88	0,19	5,88
6,00	0,19	6,00
6,14	0,20	6,14
6,27	0,20	6,27
6,41	0,21	6,41
6,53	0,21	6,53
6,65	0,22	6,65
6,77	0,23	6,77
6,89	0,23	6,89
7,01	0,24	7,01
7,13	0,24	7,13
7,25	0,24	7,25
7,36	0,25	7,36
7,49	0,26	7,49
7,60	0,26	7,60
7,70	0,27	7,70
7,82	0,27	7,82
7,91	0,28	7,91
8,02	0,28	8,02
8,14	0,29	8,14
8,23	0,29	8,23
8,35	0,30	8,35
8,44	0,30	8,44
8,54	0,31	8,54
8,65	0,31	8,65
8,74	0,31	8,74
8,84	0,32	8,84
8,93	0,33	8,93
9,02	0,33	9,02
9,11	0,34	9,11
9,21	0,34	9,21
9,30	0,35	9,30
9,39	0,35	9,39
9,48	0,35	9,48
9,57	0,36	9,57
9,66	0,36	9,66
9,75	0,37	9,75
9,82	0,37	9,82
9,90	0,38	9,90
9,99	0,38	9,99
10,06	0,39	10,06
10,14	0,39	10,14
10,23	0,40	10,23
10,30	0,40	10,30
10,38	0,41	10,38
10,45	0,41	10,45
10,53	0,42	10,53
10,60	0,42	10,60
10,68	0,42	10,68
10,75	0,43	10,75
10,83	0,43	10,83
10,89	0,44	10,89
10,96	0,44	10,96
11,04	0,45	11,04
11,10	0,45	11,10
11,16	0,46	11,16
11,24	0,46	11,24
11,31	0,46	11,31
11,37	0,47	11,37
11,43	0,47	11,43
11,49	0,48	11,49
11,57	0,48	11,57
11,63	0,48	11,63
11,69	0,49	11,69
11,75	0,49	11,75
11,81	0,49	11,81
11,85	0,50	11,85
11,93	0,50	11,93
11,97	0,51	11,97
12,03	0,51	12,03
