Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

0,15	0,24	0,15
0,15	0,23	0,15
0,15	0,26	0,15
0,15	0,24	0,15
0,15	0,23	0,15
0,15	0,24	0,15
0,15	0,24	0,15
0,15	0,23	0,15
0,15	0,24	0,15
0,15	0,24	0,15
0,15	0,23	0,15
0,15	0,24	0,15
0,15	0,24	0,15
0,17	0,24	0,17
0,15	0,24	0,15
0,15	0,24	0,15
0,17	0,24	0,17
0,15	0,24	0,15
0,15	0,24	0,15
0,17	0,24	0,17
0,15	0,26	0,15
0,15	0,24	0,15
0,15	0,24	0,15
0,15	0,24	0,15
0,15	0,24	0,15
0,15	0,24	0,15
0,17	0,24	0,17
0,18	0,24	0,18
0,21	0,23	0,21
0,26	0,26	0,26
0,29	0,24	0,29
0,35	0,23	0,35
0,38	0,24	0,38
0,45	0,24	0,45
0,51	0,24	0,51
0,57	0,24	0,57
0,63	0,24	0,63
0,69	0,24	0,69
0,75	0,24	0,75
0,81	0,24	0,81
0,89	0,26	0,89
0,95	0,24	0,95
0,99	0,24	0,99
1,07	0,24	1,07
1,11	0,24	1,11
1,17	0,24	1,17
1,25	0,24	1,25
1,31	0,26	1,31
1,35	0,24	1,35
1,43	0,24	1,43
1,47	0,26	1,47
1,53	0,24	1,53
1,61	0,23	1,61
1,65	0,24	1,65
1,71	0,23	1,71
1,77	0,24	1,77
1,84	0,24	1,84
1,90	0,24	1,90
1,94	0,24	1,94
2,00	0,24	2,00
2,06	0,24	2,06
2,12	0,24	2,12
2,20	0,24	2,20
2,24	0,24	2,24
2,30	0,24	2,30
2,35	0,24	2,35
2,41	0,24	2,41
2,47	0,24	2,47
2,53	0,24	2,53
2,59	0,24	2,59
2,63	0,24	2,63
2,69	0,26	2,69
2,75	0,24	2,75
2,80	0,26	2,80
2,84	0,26	2,84
2,92	0,24	2,92
2,96	0,24	2,96
3,02	0,26	3,02
3,08	0,24	3,08
3,14	0,24	3,14
3,22	0,26	3,22
3,29	0,24	3,29
3,35	0,26	3,35
3,43	0,26	3,43
3,49	0,24	3,49
3,55	0,26	3,55
3,62	0,26	3,62
3,69	0,26	3,69
3,76	0,26	3,76
3,81	0,26	3,81
3,88	0,26	3,88
3,94	0,26	3,94
4,00	0,27	4,00
4,06	0,26	4,06
4,14	0,27	4,14
4,20	0,26	4,20
4,27	0,27	4,27
4,32	0,27	4,32
4,39	0,27	4,39
4,45	0,26	4,45
4,51	0,27	4,51
4,59	0,27	4,59
4,65	0,29	4,65
4,71	0,29	4,71
4,75	0,27	4,75
