Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

0,02	0,16	0,02
0,03	0,15	0,03
0,30	0,15	0,30
0,66	0,15	0,66
1,11	0,15	1,11
1,58	0,16	1,58
2,02	0,16	2,02
2,47	0,17	2,47
2,90	0,18	2,90
3,34	0,18	3,34
3,76	0,20	3,76
4,18	0,21	4,18
4,60	0,23	4,60
5,01	0,24	5,01
5,41	0,26	5,41
5,81	0,28	5,81
6,20	0,30	6,20
6,59	0,32	6,59
6,98	0,33	6,98
7,34	0,35	7,34
7,72	0,38	7,72
8,08	0,40	8,08
8,44	0,42	8,44
8,80	0,45	8,80
9,14	0,47	9,14
9,49	0,50	9,49
9,84	0,53	9,84
10,17	0,56	10,17
10,50	0,58	10,50
10,83	0,61	10,83
11,15	0,64	11,15
11,48	0,67	11,48
11,78	0,69	11,78
12,09	0,73	12,09
12,39	0,76	12,39
12,71	0,79	12,71
13,00	0,82	13,00
13,30	0,86	13,30
13,58	0,89	13,58
13,87	0,92	13,87
14,15	0,96	14,15
14,44	0,99	14,44
14,73	1,03	14,73
15,01	1,06	15,01
15,30	1,10	15,30
15,57	1,14	15,57
15,84	1,18	15,84
16,11	1,22	16,11
16,36	1,26	16,36
16,64	1,29	16,64
16,89	1,33	16,89
17,15	1,37	17,15
17,40	1,41	17,40
17,66	1,46	17,66
17,90	1,50	17,90
18,14	1,54	18,14
18,38	1,58	18,38
18,62	1,62	18,62
18,85	1,66	18,85
19,09	1,71	19,09
19,31	1,75	19,31
19,52	1,79	19,52
19,75	1,84	19,75
19,97	1,88	19,97
20,19	1,92	20,19
20,41	1,96	20,41
20,61	2,00	20,61
20,82	2,05	20,82
21,03	2,09	21,03
21,22	2,13	21,22
21,43	2,17	21,43
21,63	2,22	21,63
21,82	2,26	21,82
22,01	2,30	22,01
22,20	2,34	22,20
22,40	2,39	22,40
22,58	2,43	22,58
22,77	2,47	22,77
22,94	2,51	22,94
23,12	2,55	23,12
23,30	2,60	23,30
23,48	2,64	23,48
23,64	2,68	23,64
23,83	2,72	23,83
23,99	2,76	23,99
24,16	2,80	24,16
24,31	2,84	24,31
24,47	2,88	24,47
24,64	2,92	24,64
24,80	2,96	24,80
24,95	3,00	24,95
25,10	3,04	25,10
25,25	3,08	25,25
25,40	3,12	25,40
25,54	3,16	25,54
25,71	3,20	25,71
25,84	3,24	25,84
25,98	3,27	25,98
26,13	3,32	26,13
26,26	3,35	26,26
26,40	3,39	26,40
26,55	3,43	26,55
26,67	3,46	26,67
26,80	3,50	26,80
26,94	3,53	26,94
27,06	3,57	27,06
27,19	3,60	27,19
27,31	3,64	27,31
27,43	3,67	27,43
27,57	3,71	27,57
27,69	3,74	27,69
27,81	3,78	27,81
27,93	3,81	27,93
28,05	3,84	28,05
28,16	3,88	28,16
28,28	3,91	28,28
28,40	3,94	28,40
28,50	3,97	28,50
28,62	4,00	28,62
28,73	4,03	28,73
28,83	4,06	28,83
28,94	4,10	28,94
29,04	4,13	29,04
29,15	4,16	29,15
29,24	4,19	29,24
29,36	4,22	29,36
29,45	4,25	29,45
29,56	4,28	29,56
29,65	4,32	29,65
29,75	4,34	29,75
29,84	4,37	29,84
29,93	4,40	29,93
30,02	4,43	30,02
30,08	4,69	30,08
30,13	4,46	30,13
30,22	4,49	30,22
30,31	4,52	30,31
30,38	4,55	30,38
30,49	4,58	30,49
30,56	4,61	30,56
30,64	4,64	30,64
30,74	4,66	30,74
