Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

0,26	0,02	0,26
0,27	0,03	0,27
0,32	0,02	0,32
0,45	0,02	0,45
0,63	0,02	0,63
0,81	0,02	0,81
0,99	0,02	0,99
1,17	0,02	1,17
1,34	0,02	1,34
1,52	0,02	1,52
1,70	0,02	1,70
1,88	0,02	1,88
2,06	0,02	2,06
2,24	0,02	2,24
2,42	0,02	2,42
2,60	0,02	2,60
2,78	0,02	2,78
2,95	0,02	2,95
3,11	0,02	3,11
3,28	0,03	3,28
3,44	0,03	3,44
3,61	0,03	3,61
3,78	0,03	3,78
3,93	0,03	3,93
4,09	0,03	4,09
4,24	0,03	4,24
4,39	0,03	4,39
4,54	0,03	4,54
4,69	0,03	4,69
4,84	0,03	4,84
4,99	0,03	4,99
5,13	0,03	5,13
5,26	0,03	5,26
5,41	0,03	5,41
5,55	0,03	5,55
5,69	0,04	5,69
5,82	0,04	5,82
5,94	0,04	5,94
6,08	0,04	6,08
6,21	0,04	6,21
6,33	0,04	6,33
6,47	0,04	6,47
6,59	0,04	6,59
6,71	0,05	6,71
6,83	0,05	6,83
6,95	0,05	6,95
7,07	0,05	7,07
7,17	0,05	7,17
7,29	0,05	7,29
7,42	0,05	7,42
7,52	0,06	7,52
7,64	0,06	7,64
7,75	0,06	7,75
7,85	0,06	7,85
7,96	0,06	7,96
8,06	0,07	8,06
8,17	0,07	8,17
8,27	0,07	8,27
8,38	0,07	8,38
8,48	0,07	8,48
8,57	0,08	8,57
8,66	0,08	8,66
8,77	0,08	8,77
8,86	0,08	8,86
8,95	0,09	8,95
9,05	0,09	9,05
9,13	0,09	9,13
9,22	0,09	9,22
9,33	0,09	9,33
9,40	0,09	9,40
9,49	0,10	9,49
9,58	0,10	9,58
9,67	0,10	9,67
9,75	0,10	9,75
9,84	0,10	9,84
9,91	0,11	9,91
9,99	0,11	9,99
10,08	0,11	10,08
10,15	0,11	10,15
10,23	0,11	10,23
10,30	0,11	10,30
10,38	0,12	10,38
10,45	0,12	10,45
10,53	0,12	10,53
10,60	0,12	10,60
10,68	0,12	10,68
10,75	0,13	10,75
10,81	0,13	10,81
10,87	0,13	10,87
10,95	0,13	10,95
11,03	0,13	11,03
11,10	0,13	11,10
11,16	0,14	11,16
11,22	0,14	11,22
11,30	0,14	11,30
11,36	0,14	11,36
11,42	0,14	11,42
11,48	0,15	11,48
11,54	0,15	11,54
11,60	0,15	11,60
11,66	0,15	11,66
11,72	0,15	11,72
11,78	0,16	11,78
11,84	0,16	11,84
11,88	0,16	11,88
