Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

0,39	0,24	0,39
0,39	0,24	0,39
0,39	0,23	0,39
0,41	0,23	0,41
0,39	0,23	0,39
0,39	0,23	0,39
0,41	0,23	0,41
0,41	0,23	0,41
0,41	0,23	0,41
0,41	0,24	0,41
0,39	0,23	0,39
0,39	0,24	0,39
0,39	0,23	0,39
0,41	0,24	0,41
0,39	0,23	0,39
0,39	0,24	0,39
0,39	0,23	0,39
0,39	0,23	0,39
0,39	0,23	0,39
0,39	0,23	0,39
0,39	0,24	0,39
0,39	0,24	0,39
0,39	0,24	0,39
0,41	0,23	0,41
0,39	0,23	0,39
0,39	0,24	0,39
0,41	0,23	0,41
0,39	0,24	0,39
0,39	0,23	0,39
0,39	0,23	0,39
0,39	0,24	0,39
0,38	0,24	0,38
0,39	0,23	0,39
0,39	0,23	0,39
0,39	0,24	0,39
0,41	0,23	0,41
0,42	0,24	0,42
0,44	0,23	0,44
0,47	0,23	0,47
0,51	0,24	0,51
0,56	0,24	0,56
0,62	0,24	0,62
0,66	0,23	0,66
0,72	0,23	0,72
0,77	0,24	0,77
0,81	0,23	0,81
0,89	0,23	0,89
0,96	0,23	0,96
1,01	0,23	1,01
1,07	0,23	1,07
1,13	0,23	1,13
1,19	0,23	1,19
1,25	0,23	1,25
1,31	0,23	1,31
1,37	0,23	1,37
1,43	0,23	1,43
1,49	0,23	1,49
1,55	0,24	1,55
1,61	0,24	1,61
1,67	0,23	1,67
1,73	0,24	1,73
1,77	0,23	1,77
1,85	0,24	1,85
1,91	0,23	1,91
1,97	0,23	1,97
2,03	0,23	2,03
2,08	0,24	2,08
2,14	0,23	2,14
2,20	0,24	2,20
2,27	0,23	2,27
2,32	0,23	2,32
2,36	0,23	2,36
2,42	0,23	2,42
2,50	0,23	2,50
2,54	0,24	2,54
2,60	0,24	2,60
2,65	0,24	2,65
2,72	0,24	2,72
2,78	0,24	2,78
2,83	0,24	2,83
2,89	0,23	2,89
2,93	0,24	2,93
2,99	0,23	2,99
3,05	0,26	3,05
3,11	0,24	3,11
3,17	0,24	3,17
3,22	0,24	3,22
3,28	0,24	3,28
3,34	0,24	3,34
3,38	0,23	3,38
3,44	0,23	3,44
3,50	0,24	3,50
3,55	0,23	3,55
3,61	0,24	3,61
3,65	0,24	3,65
3,72	0,24	3,72
3,78	0,23	3,78
3,82	0,24	3,82
3,88	0,24	3,88
3,93	0,24	3,93
3,97	0,24	3,97
4,03	0,24	4,03
4,09	0,24	4,09
4,14	0,26	4,14
4,20	0,26	4,20
