Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

0,38	0,03	0,38
0,39	0,03	0,39
0,51	0,03	0,51
0,69	0,03	0,69
0,87	0,02	0,87
1,05	0,02	1,05
1,25	0,02	1,25
1,41	0,02	1,41
1,59	0,02	1,59
1,77	0,02	1,77
1,94	0,02	1,94
2,12	0,02	2,12
2,29	0,02	2,29
2,45	0,02	2,45
2,62	0,02	2,62
2,78	0,02	2,78
2,93	0,02	2,93
3,10	0,02	3,10
3,25	0,02	3,25
3,41	0,02	3,41
3,56	0,02	3,56
3,70	0,02	3,70
3,87	0,02	3,87
4,00	0,02	4,00
4,14	0,02	4,14
4,29	0,02	4,29
4,42	0,02	4,42
4,57	0,02	4,57
4,69	0,02	4,69
4,83	0,03	4,83
4,96	0,02	4,96
5,11	0,02	5,11
5,22	0,02	5,22
5,35	0,02	5,35
5,49	0,03	5,49
5,61	0,03	5,61
5,73	0,03	5,73
5,85	0,02	5,85
5,97	0,03	5,97
6,11	0,03	6,11
6,26	0,03	6,26
6,39	0,02	6,39
6,54	0,03	6,54
6,68	0,02	6,68
6,81	0,03	6,81
6,95	0,03	6,95
7,08	0,03	7,08
7,22	0,03	7,22
7,34	0,03	7,34
7,48	0,03	7,48
7,60	0,03	7,60
7,72	0,03	7,72
7,85	0,03	7,85
7,97	0,03	7,97
8,09	0,03	8,09
8,21	0,03	8,21
8,33	0,03	8,33
8,44	0,03	8,44
8,56	0,03	8,56
8,68	0,04	8,68
8,78	0,04	8,78
8,89	0,04	8,89
9,01	0,04	9,01
9,10	0,04	9,10
9,22	0,04	9,22
9,33	0,04	9,33
9,42	0,04	9,42
9,54	0,04	9,54
9,63	0,04	9,63
9,72	0,05	9,72
9,82	0,05	9,82
9,91	0,05	9,91
10,00	0,04	10,00
10,11	0,04	10,11
10,20	0,05	10,20
10,29	0,05	10,29
10,38	0,05	10,38
10,48	0,05	10,48
10,56	0,05	10,56
10,65	0,05	10,65
10,74	0,06	10,74
10,81	0,06	10,81
10,92	0,06	10,92
10,99	0,06	10,99
11,07	0,06	11,07
11,15	0,07	11,15
11,24	0,07	11,24
11,31	0,06	11,31
11,40	0,06	11,40
11,46	0,07	11,46
11,54	0,06	11,54
11,63	0,06	11,63
11,70	0,07	11,70
11,76	0,07	11,76
11,84	0,07	11,84
11,91	0,07	11,91
11,97	0,07	11,97
12,05	0,07	12,05
12,12	0,07	12,12
12,18	0,08	12,18
12,26	0,08	12,26
12,32	0,08	12,32
12,39	0,08	12,39
12,45	0,08	12,45
12,51	0,08	12,51
