Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

0,17	0,36	0,17
0,18	0,36	0,18
0,18	0,36	0,18
0,18	0,36	0,18
0,17	0,36	0,17
0,18	0,36	0,18
0,18	0,36	0,18
0,18	0,36	0,18
0,18	0,38	0,18
0,17	0,36	0,17
0,18	0,38	0,18
0,18	0,36	0,18
0,18	0,38	0,18
0,18	0,38	0,18
0,18	0,38	0,18
0,18	0,36	0,18
0,18	0,36	0,18
0,18	0,36	0,18
0,18	0,36	0,18
0,18	0,36	0,18
0,18	0,36	0,18
0,18	0,36	0,18
0,17	0,36	0,17
0,18	0,36	0,18
0,18	0,36	0,18
0,18	0,36	0,18
0,18	0,36	0,18
0,18	0,36	0,18
0,18	0,36	0,18
0,18	0,38	0,18
0,18	0,38	0,18
0,18	0,36	0,18
0,18	0,38	0,18
0,17	0,36	0,17
0,18	0,36	0,18
0,18	0,36	0,18
0,18	0,36	0,18
0,18	0,36	0,18
0,18	0,36	0,18
0,18	0,36	0,18
0,18	0,36	0,18
0,18	0,36	0,18
0,18	0,36	0,18
0,18	0,36	0,18
0,18	0,36	0,18
0,18	0,36	0,18
0,18	0,36	0,18
0,18	0,36	0,18
0,20	0,36	0,20
0,20	0,36	0,20
0,21	0,36	0,21
0,23	0,36	0,23
0,26	0,36	0,26
0,30	0,36	0,30
0,33	0,36	0,33
0,36	0,36	0,36
0,41	0,36	0,41
0,45	0,36	0,45
0,48	0,36	0,48
0,53	0,36	0,53
0,59	0,36	0,59
0,62	0,36	0,62
0,68	0,36	0,68
0,74	0,36	0,74
0,78	0,36	0,78
0,83	0,36	0,83
0,87	0,36	0,87
0,93	0,38	0,93
0,98	0,36	0,98
1,04	0,38	1,04
1,10	0,36	1,10
1,14	0,36	1,14
1,20	0,38	1,20
1,25	0,36	1,25
1,31	0,38	1,31
1,35	0,38	1,35
1,41	0,38	1,41
1,47	0,38	1,47
1,52	0,36	1,52
1,58	0,38	1,58
1,62	0,38	1,62
1,68	0,39	1,68
1,73	0,39	1,73
1,77	0,41	1,77
1,84	0,39	1,84
1,88	0,41	1,88
1,94	0,39	1,94
1,99	0,41	1,99
2,05	0,41	2,05
2,09	0,42	2,09
2,14	0,42	2,14
2,20	0,44	2,20
2,26	0,44	2,26
2,30	0,44	2,30
2,36	0,44	2,36
2,41	0,45	2,41
2,45	0,47	2,45
2,51	0,47	2,51
2,56	0,47	2,56
2,62	0,48	2,62
2,66	0,50	2,66
2,72	0,50	2,72
2,78	0,51	2,78
2,83	0,51	2,83
2,89	0,53	2,89
