Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

0,02	0,38	0,02
0,03	0,38	0,03
0,02	0,38	0,02
0,03	0,36	0,03
0,02	0,38	0,02
0,02	0,38	0,02
0,02	0,38	0,02
0,02	0,38	0,02
0,02	0,38	0,02
0,03	0,38	0,03
0,02	0,38	0,02
0,02	0,38	0,02
0,02	0,38	0,02
0,02	0,38	0,02
0,02	0,38	0,02
0,02	0,38	0,02
0,02	0,38	0,02
0,03	0,38	0,03
0,02	0,38	0,02
0,03	0,36	0,03
0,03	0,38	0,03
0,02	0,38	0,02
0,02	0,38	0,02
0,03	0,38	0,03
0,03	0,38	0,03
0,02	0,38	0,02
0,02	0,38	0,02
0,03	0,36	0,03
0,02	0,38	0,02
0,02	0,38	0,02
0,02	0,38	0,02
0,02	0,38	0,02
0,03	0,38	0,03
0,03	0,36	0,03
0,05	0,38	0,05
0,06	0,38	0,06
0,08	0,38	0,08
0,11	0,38	0,11
0,14	0,38	0,14
0,18	0,38	0,18
0,23	0,38	0,23
0,26	0,38	0,26
0,32	0,38	0,32
0,36	0,38	0,36
0,41	0,38	0,41
0,45	0,38	0,45
0,51	0,38	0,51
0,56	0,36	0,56
0,62	0,36	0,62
0,68	0,38	0,68
0,74	0,39	0,74
0,80	0,38	0,80
0,84	0,38	0,84
0,92	0,38	0,92
0,96	0,39	0,96
1,02	0,39	1,02
1,07	0,39	1,07
1,13	0,39	1,13
1,19	0,39	1,19
1,25	0,39	1,25
1,31	0,39	1,31
1,35	0,39	1,35
1,41	0,41	1,41
1,47	0,41	1,47
1,52	0,41	1,52
1,59	0,41	1,59
1,64	0,41	1,64
1,70	0,42	1,70
1,76	0,42	1,76
1,82	0,41	1,82
1,87	0,42	1,87
1,93	0,42	1,93
1,99	0,42	1,99
2,05	0,44	2,05
2,09	0,44	2,09
2,15	0,44	2,15
2,20	0,45	2,20
2,26	0,45	2,26
2,32	0,44	2,32
2,38	0,45	2,38
2,42	0,47	2,42
2,48	0,45	2,48
2,53	0,47	2,53
2,59	0,47	2,59
2,65	0,48	2,65
2,71	0,48	2,71
2,75	0,48	2,75
2,80	0,50	2,80
2,86	0,50	2,86
2,92	0,50	2,92
2,96	0,51	2,96
3,01	0,51	3,01
3,08	0,53	3,08
3,13	0,51	3,13
3,17	0,53	3,17
3,23	0,54	3,23
3,28	0,53	3,28
3,34	0,54	3,34
3,38	0,54	3,38
3,44	0,54	3,44
3,49	0,56	3,49
3,55	0,57	3,55
3,59	0,56	3,59
3,64	0,57	3,64
3,69	0,57	3,69
