Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

0,33	0,30	0,33
0,35	0,29	0,35
0,42	0,29	0,42
0,51	0,29	0,51
0,63	0,29	0,63
0,74	0,30	0,74
0,86	0,30	0,86
0,96	0,31	0,96
1,08	0,32	1,08
1,19	0,32	1,19
1,32	0,34	1,32
1,47	0,34	1,47
1,62	0,35	1,62
1,77	0,36	1,77
1,93	0,37	1,93
2,06	0,39	2,06
2,21	0,40	2,21
2,35	0,41	2,35
2,50	0,42	2,50
2,63	0,44	2,63
2,77	0,45	2,77
2,90	0,46	2,90
3,02	0,48	3,02
3,16	0,49	3,16
3,29	0,51	3,29
3,41	0,52	3,41
3,53	0,55	3,53
3,65	0,56	3,65
3,79	0,59	3,79
3,91	0,62	3,91
4,02	0,65	4,02
4,12	0,68	4,12
4,26	0,72	4,26
4,36	0,77	4,36
4,47	0,81	4,47
4,59	0,86	4,59
4,71	0,91	4,71
4,81	0,95	4,81
4,92	0,99	4,92
5,01	1,02	5,01
5,14	1,05	5,14
5,22	1,08	5,22
5,32	1,10	5,32
5,43	1,12	5,43
5,52	1,14	5,52
5,63	1,16	5,63
5,73	1,17	5,73
5,82	1,18	5,82
5,91	1,19	5,91
6,00	1,20	6,00
6,09	1,21	6,09
6,20	1,22	6,20
6,27	1,23	6,27
6,36	1,24	6,36
6,45	1,25	6,45
6,54	1,26	6,54
6,62	1,27	6,62
6,71	1,28	6,71
6,80	1,29	6,80
6,86	1,31	6,86
6,95	1,32	6,95
7,02	1,33	7,02
7,11	1,34	7,11
7,19	1,36	7,19
7,26	1,37	7,26
7,34	1,39	7,34
7,42	1,41	7,42
7,49	1,42	7,49
7,57	1,44	7,57
7,63	1,46	7,63
7,70	1,48	7,70
7,78	1,50	7,78
7,84	1,52	7,84
7,91	1,54	7,91
7,99	1,56	7,99
8,05	1,58	8,05
8,11	1,61	8,11
8,18	1,63	8,18
8,24	1,66	8,24
8,30	1,69	8,30
8,36	1,72	8,36
8,44	1,76	8,44
8,50	1,80	8,50
8,56	1,84	8,56
8,60	1,89	8,60
8,68	1,94	8,68
8,74	2,00	8,74
8,78	2,05	8,78
8,84	2,12	8,84
8,90	2,19	8,90
8,95	2,26	8,95
9,01	2,33	9,01
9,07	2,41	9,07
9,11	2,48	9,11
9,16	2,54	9,16
9,22	2,61	9,22
9,27	2,67	9,27
9,33	2,72	9,33
9,37	2,78	9,37
9,42	2,82	9,42
9,48	2,86	9,48
9,52	2,90	9,52
9,58	2,93	9,58
9,61	2,96	9,61
9,66	2,98	9,66
