Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

16,74	3,17	16,74
16,76	3,17	16,76
16,77	3,17	16,77
16,79	3,17	16,79
16,80	3,17	16,80
16,82	3,17	16,82
16,83	3,17	16,83
16,85	3,17	16,85
16,86	3,17	16,86
16,88	3,17	16,88
16,89	3,17	16,89
16,91	3,18	16,91
16,92	3,18	16,92
16,94	3,18	16,94
16,95	3,18	16,95
16,97	3,18	16,97
16,98	3,19	16,98
17,00	3,19	17,00
17,01	3,19	17,01
17,03	3,19	17,03
17,04	3,20	17,04
17,06	3,20	17,06
17,07	3,20	17,07
17,09	3,21	17,09
17,10	3,21	17,10
17,12	3,20	17,12
17,13	3,20	17,13
17,15	3,20	17,15
17,16	3,20	17,16
17,18	3,21	17,18
17,19	3,22	17,19
17,21	3,22	17,21
17,22	3,23	17,22
17,24	3,24	17,24
17,25	3,23	17,25
17,27	3,22	17,27
17,28	3,21	17,28
17,30	3,20	17,30
17,31	3,20	17,31
17,33	3,27	17,33
17,34	3,24	17,34
17,36	3,17	17,36
