Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

0,62	0,23	0,62
0,63	0,23	0,63
0,63	0,23	0,63
0,62	0,23	0,62
0,63	0,21	0,63
0,62	0,23	0,62
0,62	0,21	0,62
0,62	0,23	0,62
0,62	0,23	0,62
0,62	0,23	0,62
0,62	0,23	0,62
0,63	0,21	0,63
0,62	0,23	0,62
0,63	0,21	0,63
0,62	0,21	0,62
0,62	0,21	0,62
0,62	0,23	0,62
0,62	0,23	0,62
0,62	0,21	0,62
0,62	0,23	0,62
0,62	0,21	0,62
0,62	0,23	0,62
0,62	0,21	0,62
0,62	0,23	0,62
0,62	0,23	0,62
0,62	0,23	0,62
0,63	0,23	0,63
0,62	0,23	0,62
0,62	0,23	0,62
0,62	0,23	0,62
0,62	0,23	0,62
0,63	0,21	0,63
0,62	0,23	0,62
0,63	0,23	0,63
0,65	0,23	0,65
0,66	0,23	0,66
0,69	0,23	0,69
0,74	0,23	0,74
0,78	0,23	0,78
0,83	0,21	0,83
0,87	0,23	0,87
0,95	0,23	0,95
1,01	0,21	1,01
1,07	0,23	1,07
1,13	0,23	1,13
1,20	0,23	1,20
1,28	0,23	1,28
1,35	0,23	1,35
1,43	0,23	1,43
1,50	0,23	1,50
1,59	0,23	1,59
1,67	0,21	1,67
1,73	0,21	1,73
1,82	0,21	1,82
1,88	0,23	1,88
1,97	0,23	1,97
2,05	0,21	2,05
2,12	0,23	2,12
2,20	0,23	2,20
2,27	0,23	2,27
2,33	0,23	2,33
2,41	0,21	2,41
2,50	0,21	2,50
2,56	0,23	2,56
2,63	0,23	2,63
2,71	0,23	2,71
2,78	0,23	2,78
2,87	0,21	2,87
2,92	0,23	2,92
3,01	0,23	3,01
3,07	0,23	3,07
3,16	0,21	3,16
3,22	0,23	3,22
3,28	0,23	3,28
3,37	0,23	3,37
3,43	0,23	3,43
3,50	0,23	3,50
3,56	0,23	3,56
3,65	0,23	3,65
3,72	0,23	3,72
3,78	0,23	3,78
3,87	0,23	3,87
3,93	0,21	3,93
3,99	0,23	3,99
4,06	0,23	4,06
4,14	0,21	4,14
4,20	0,21	4,20
4,27	0,21	4,27
4,33	0,21	4,33
4,41	0,23	4,41
4,48	0,23	4,48
4,54	0,23	4,54
4,62	0,23	4,62
4,68	0,23	4,68
4,75	0,23	4,75
4,83	0,21	4,83
4,89	0,21	4,89
4,95	0,23	4,95
5,01	0,23	5,01
5,08	0,23	5,08
5,14	0,23	5,14
5,22	0,23	5,22
5,28	0,21	5,28
5,34	0,21	5,34
5,41	0,23	5,41
