Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

0,06	0,84	0,06
0,06	0,84	0,06
0,05	0,84	0,05
0,06	0,84	0,06
0,06	0,84	0,06
0,05	0,84	0,05
0,06	0,83	0,06
0,05	0,84	0,05
0,06	0,84	0,06
0,06	0,83	0,06
0,06	0,84	0,06
0,05	0,84	0,05
0,06	0,84	0,06
0,06	0,84	0,06
0,06	0,84	0,06
0,06	0,84	0,06
0,06	0,84	0,06
0,06	0,84	0,06
0,06	0,84	0,06
0,06	0,84	0,06
0,05	0,84	0,05
0,06	0,84	0,06
0,06	0,84	0,06
0,05	0,84	0,05
0,06	0,84	0,06
0,05	0,84	0,05
0,06	0,84	0,06
0,06	0,84	0,06
0,06	0,84	0,06
0,05	0,84	0,05
0,06	0,83	0,06
0,06	0,84	0,06
0,05	0,84	0,05
0,06	0,84	0,06
0,06	0,84	0,06
0,06	0,84	0,06
0,06	0,84	0,06
0,05	0,84	0,05
0,06	0,86	0,06
0,06	0,84	0,06
0,06	0,86	0,06
0,06	0,84	0,06
0,06	0,84	0,06
0,06	0,84	0,06
0,06	0,84	0,06
0,06	0,84	0,06
0,05	0,84	0,05
0,06	0,86	0,06
0,06	0,84	0,06
0,06	0,84	0,06
0,06	0,84	0,06
0,06	0,84	0,06
0,06	0,84	0,06
0,08	0,84	0,08
0,09	0,86	0,09
0,11	0,86	0,11
0,12	0,84	0,12
0,14	0,84	0,14
0,15	0,86	0,15
0,18	0,84	0,18
0,21	0,86	0,21
0,24	0,86	0,24
0,27	0,86	0,27
0,32	0,84	0,32
0,33	0,84	0,33
0,38	0,84	0,38
0,42	0,86	0,42
0,45	0,86	0,45
0,50	0,86	0,50
0,54	0,86	0,54
0,59	0,84	0,59
0,63	0,84	0,63
0,66	0,84	0,66
0,71	0,86	0,71
0,75	0,86	0,75
0,80	0,86	0,80
0,84	0,86	0,84
0,87	0,86	0,87
0,93	0,84	0,93
0,98	0,87	0,98
1,02	0,86	1,02
1,05	0,86	1,05
1,11	0,87	1,11
1,16	0,86	1,16
1,20	0,87	1,20
1,25	0,87	1,25
1,28	0,87	1,28
1,32	0,89	1,32
1,38	0,89	1,38
1,41	0,90	1,41
1,47	0,89	1,47
1,52	0,90	1,52
1,56	0,90	1,56
1,61	0,90	1,61
1,65	0,92	1,65
1,70	0,92	1,70
1,74	0,92	1,74
1,77	0,93	1,77
1,84	0,93	1,84
1,87	0,95	1,87
1,93	0,95	1,93
1,97	0,96	1,97
2,02	0,96	2,02
2,06	0,98	2,06
2,11	0,99	2,11
