Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

16,89	0,91	16,89
16,91	0,91	16,91
16,92	0,92	16,92
16,94	0,92	16,94
16,95	0,92	16,95
16,97	0,93	16,97
16,98	0,93	16,98
17,00	0,94	17,00
17,01	0,94	17,01
17,03	0,95	17,03
17,04	0,96	17,04
17,06	0,96	17,06
17,07	0,97	17,07
17,09	0,97	17,09
17,10	0,98	17,10
17,12	0,99	17,12
17,13	0,99	17,13
17,15	1,01	17,15
17,16	1,02	17,16
17,18	1,02	17,18
17,19	1,03	17,19
17,21	1,02	17,21
17,22	1,02	17,22
17,24	1,01	17,24
17,25	1,02	17,25
17,27	1,02	17,27
17,28	1,03	17,28
17,30	1,04	17,30
17,31	1,05	17,31
17,33	1,06	17,33
17,34	1,07	17,34
17,36	1,09	17,36
17,37	1,10	17,37
