Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

0,50	0,27	0,50
0,50	0,27	0,50
0,50	0,27	0,50
0,50	0,27	0,50
0,50	0,27	0,50
0,50	0,27	0,50
0,50	0,27	0,50
0,50	0,29	0,50
0,50	0,29	0,50
0,50	0,27	0,50
0,50	0,27	0,50
0,50	0,29	0,50
0,50	0,29	0,50
0,50	0,29	0,50
0,50	0,27	0,50
0,50	0,27	0,50
0,50	0,27	0,50
0,50	0,29	0,50
0,50	0,29	0,50
0,50	0,29	0,50
0,50	0,29	0,50
0,48	0,27	0,48
0,50	0,27	0,50
0,50	0,29	0,50
0,50	0,27	0,50
0,50	0,27	0,50
0,50	0,27	0,50
0,50	0,27	0,50
0,50	0,27	0,50
0,50	0,27	0,50
0,50	0,27	0,50
0,50	0,27	0,50
0,50	0,29	0,50
0,50	0,29	0,50
0,50	0,29	0,50
0,50	0,29	0,50
0,48	0,27	0,48
0,48	0,29	0,48
0,48	0,27	0,48
0,48	0,27	0,48
0,50	0,27	0,50
0,50	0,29	0,50
0,50	0,29	0,50
0,51	0,27	0,51
0,53	0,27	0,53
0,54	0,27	0,54
0,57	0,27	0,57
0,59	0,27	0,59
0,62	0,27	0,62
0,63	0,27	0,63
0,66	0,27	0,66
0,71	0,27	0,71
0,74	0,29	0,74
0,78	0,29	0,78
0,81	0,29	0,81
0,87	0,27	0,87
0,92	0,27	0,92
0,98	0,27	0,98
1,01	0,27	1,01
1,07	0,27	1,07
1,13	0,27	1,13
1,17	0,29	1,17
1,23	0,27	1,23
1,28	0,27	1,28
1,34	0,27	1,34
1,40	0,29	1,40
1,44	0,27	1,44
1,50	0,27	1,50
1,55	0,27	1,55
1,61	0,27	1,61
1,65	0,27	1,65
1,71	0,27	1,71
1,76	0,27	1,76
1,82	0,27	1,82
1,87	0,29	1,87
1,93	0,27	1,93
1,97	0,27	1,97
2,02	0,27	2,02
2,08	0,27	2,08
2,12	0,29	2,12
2,18	0,29	2,18
2,23	0,29	2,23
2,29	0,29	2,29
2,33	0,29	2,33
2,38	0,29	2,38
2,44	0,29	2,44
2,48	0,29	2,48
2,53	0,29	2,53
2,59	0,29	2,59
2,63	0,30	2,63
2,68	0,30	2,68
2,74	0,30	2,74
2,80	0,30	2,80
2,84	0,32	2,84
2,89	0,32	2,89
2,95	0,32	2,95
3,01	0,33	3,01
3,04	0,33	3,04
3,11	0,35	3,11
3,16	0,35	3,16
3,22	0,35	3,22
3,28	0,36	3,28
3,32	0,38	3,32
3,38	0,38	3,38
3,43	0,38	3,43
