Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

0,02	0,14	0,02
0,03	0,13	0,03
0,12	0,14	0,12
0,30	0,14	0,30
0,50	0,14	0,50
0,68	0,14	0,68
0,87	0,14	0,87
1,05	0,14	1,05
1,23	0,15	1,23
1,43	0,15	1,43
1,61	0,16	1,61
1,79	0,16	1,79
1,96	0,17	1,96
2,14	0,18	2,14
2,30	0,19	2,30
2,47	0,20	2,47
2,63	0,20	2,63
2,80	0,21	2,80
2,96	0,22	2,96
3,13	0,23	3,13
3,28	0,24	3,28
3,43	0,24	3,43
3,58	0,25	3,58
3,73	0,26	3,73
3,88	0,27	3,88
4,03	0,28	4,03
4,17	0,29	4,17
4,32	0,30	4,32
4,45	0,31	4,45
4,60	0,32	4,60
4,74	0,33	4,74
4,87	0,34	4,87
5,01	0,35	5,01
5,14	0,35	5,14
5,26	0,36	5,26
5,40	0,37	5,40
5,52	0,38	5,52
5,66	0,40	5,66
5,78	0,41	5,78
5,90	0,42	5,90
6,02	0,42	6,02
6,14	0,43	6,14
6,26	0,45	6,26
6,38	0,45	6,38
6,50	0,46	6,50
6,60	0,48	6,60
6,71	0,49	6,71
6,83	0,50	6,83
6,93	0,51	6,93
7,04	0,52	7,04
7,14	0,53	7,14
7,25	0,54	7,25
7,36	0,55	7,36
7,46	0,56	7,46
7,57	0,57	7,57
7,66	0,58	7,66
7,75	0,59	7,75
7,85	0,60	7,85
7,96	0,61	7,96
8,05	0,62	8,05
8,14	0,63	8,14
8,24	0,64	8,24
8,33	0,65	8,33
8,42	0,66	8,42
8,51	0,67	8,51
8,59	0,68	8,59
8,68	0,68	8,68
8,75	0,70	8,75
8,84	0,71	8,84
8,93	0,71	8,93
9,02	0,73	9,02
9,08	0,73	9,08
9,18	0,75	9,18
9,25	0,76	9,25
9,34	0,77	9,34
9,42	0,78	9,42
9,48	0,79	9,48
9,57	0,80	9,57
9,64	0,81	9,64
9,72	0,82	9,72
9,79	0,83	9,79
9,87	0,84	9,87
9,93	0,85	9,93
10,00	0,86	10,00
10,08	0,87	10,08
10,14	0,88	10,14
10,20	0,89	10,20
10,27	0,90	10,27
10,33	0,91	10,33
10,39	0,92	10,39
10,47	0,93	10,47
10,54	0,94	10,54
10,60	0,94	10,60
10,65	0,95	10,65
10,71	0,96	10,71
10,78	0,97	10,78
10,83	0,98	10,83
10,90	0,99	10,90
10,95	1,00	10,95
11,01	1,01	11,01
11,07	1,01	11,07
11,13	1,02	11,13
11,18	1,03	11,18
11,24	1,04	11,24
11,30	1,05	11,30
