Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

12,27	0,96	12,27
12,30	0,98	12,30
12,35	0,99	12,35
12,38	0,99	12,38
12,42	0,99	12,42
12,45	1,01	12,45
12,50	1,02	12,50
12,54	1,01	12,54
12,57	1,02	12,57
12,62	1,04	12,62
12,65	1,05	12,65
12,69	1,05	12,69
12,72	1,05	12,72
12,77	1,08	12,77
12,80	1,08	12,80
12,85	1,11	12,85
12,88	1,13	12,88
12,92	1,11	12,92
12,95	1,13	12,95
13,00	1,14	13,00
13,03	1,14	13,03
13,07	1,16	13,07
13,10	1,19	13,10
13,15	1,19	13,15
13,19	1,19	13,19
13,22	1,22	13,22
13,25	1,22	13,25
13,30	1,24	13,30
13,33	1,25	13,33
13,37	1,27	13,37
13,40	1,28	13,40
13,43	1,30	13,43
13,46	1,31	13,46
13,51	1,31	13,51
13,55	1,33	13,55
13,57	1,36	13,57
13,61	1,36	13,61
13,64	1,39	13,64
13,69	1,39	13,69
13,72	1,40	13,72
13,76	1,42	13,76
13,79	1,43	13,79
13,82	1,45	13,82
13,87	1,46	13,87
13,90	1,48	13,90
13,94	1,48	13,94
13,97	1,51	13,97
14,00	1,51	14,00
14,03	1,54	14,03
14,08	1,55	14,08
14,11	1,55	14,11
14,15	1,55	14,15
14,17	1,57	14,17
14,21	1,58	14,21
14,24	1,61	14,24
14,27	1,61	14,27
14,32	1,61	14,32
14,35	1,64	14,35
14,38	1,64	14,38
14,42	1,64	14,42
14,44	1,64	14,44
14,48	1,64	14,48
14,51	1,67	14,51
14,54	1,67	14,54
14,59	1,67	14,59
14,62	1,67	14,62
14,65	1,67	14,65
14,68	1,67	14,68
14,71	1,67	14,71
14,74	1,69	14,74
14,77	1,69	14,77
14,82	1,67	14,82
14,85	1,67	14,85
14,88	1,67	14,88
14,91	1,67	14,91
14,94	1,67	14,94
14,98	1,67	14,98
15,01	1,66	15,01
15,04	1,66	15,04
15,07	1,64	15,07
15,12	1,64	15,12
15,13	1,64	15,13
15,16	1,64	15,16
15,21	1,64	15,21
15,24	1,63	15,24
15,25	1,63	15,25
15,30	1,61	15,30
15,33	1,61	15,33
15,36	1,61	15,36
15,39	1,61	15,39
15,43	1,60	15,43
15,46	1,58	15,46
15,48	1,58	15,48
15,51	1,58	15,51
15,55	1,60	15,55
15,57	1,58	15,57
15,61	1,58	15,61
15,64	1,58	15,64
15,66	1,58	15,66
