Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

0,02	0,03	0,02
0,03	0,03	0,03
0,09	0,03	0,09
0,35	0,03	0,35
0,71	0,03	0,71
1,10	0,03	1,10
1,47	0,03	1,47
1,87	0,04	1,87
2,27	0,03	2,27
2,68	0,04	2,68
3,07	0,04	3,07
3,46	0,04	3,46
3,84	0,04	3,84
4,21	0,04	4,21
4,60	0,04	4,60
4,96	0,05	4,96
5,32	0,05	5,32
5,69	0,05	5,69
6,05	0,06	6,05
6,39	0,06	6,39
6,72	0,06	6,72
7,05	0,07	7,05
7,42	0,08	7,42
7,73	0,08	7,73
8,05	0,08	8,05
8,38	0,09	8,38
8,69	0,09	8,69
9,01	0,10	9,01
9,31	0,11	9,31
9,61	0,11	9,61
9,91	0,11	9,91
10,21	0,12	10,21
10,50	0,12	10,50
10,80	0,13	10,80
11,07	0,14	11,07
11,36	0,14	11,36
11,63	0,15	11,63
11,91	0,16	11,91
12,17	0,16	12,17
12,44	0,17	12,44
12,69	0,17	12,69
12,95	0,18	12,95
13,21	0,19	13,21
13,46	0,19	13,46
13,72	0,20	13,72
13,96	0,21	13,96
14,20	0,22	14,20
14,44	0,22	14,44
14,68	0,23	14,68
14,91	0,24	14,91
15,13	0,25	15,13
15,36	0,26	15,36
15,58	0,26	15,58
15,81	0,27	15,81
16,02	0,28	16,02
16,24	0,29	16,24
16,45	0,30	16,45
16,67	0,30	16,67
16,88	0,31	16,88
17,09	0,32	17,09
17,28	0,33	17,28
17,48	0,34	17,48
17,67	0,34	17,67
17,87	0,35	17,87
18,06	0,36	18,06
18,24	0,36	18,24
18,43	0,37	18,43
18,61	0,38	18,61
18,79	0,39	18,79
18,97	0,40	18,97
19,15	0,41	19,15
19,31	0,42	19,31
19,51	0,43	19,51
19,66	0,44	19,66
19,84	0,45	19,84
20,03	0,46	20,03
20,23	0,47	20,23
20,41	0,48	20,41
20,59	0,49	20,59
20,77	0,50	20,77
20,97	0,51	20,97
21,15	0,52	21,15
21,33	0,53	21,33
21,49	0,54	21,49
21,67	0,55	21,67
21,84	0,56	21,84
22,02	0,56	22,02
22,19	0,58	22,19
22,34	0,58	22,34
22,50	0,59	22,50
22,67	0,60	22,67
22,82	0,61	22,82
22,97	0,62	22,97
23,12	0,63	23,12
23,28	0,64	23,28
23,43	0,65	23,43
23,58	0,66	23,58
23,72	0,67	23,72
23,87	0,68	23,87
24,01	0,69	24,01
24,16	0,71	24,16
24,28	0,72	24,28
24,43	0,73	24,43
24,56	0,74	24,56
24,70	0,75	24,70
24,82	0,76	24,82
24,95	0,77	24,95
25,09	0,78	25,09
25,21	0,79	25,21
25,34	0,80	25,34
25,46	0,81	25,46
25,58	0,82	25,58
25,71	0,83	25,71
25,83	0,83	25,83
25,95	0,84	25,95
26,07	0,84	26,07
26,17	0,85	26,17
26,28	0,85	26,28
26,40	0,86	26,40
26,50	0,87	26,50
26,62	0,87	26,62
26,73	0,88	26,73
26,83	0,88	26,83
26,94	0,89	26,94
27,03	0,89	27,03
27,15	0,90	27,15
27,24	0,91	27,24
27,34	0,91	27,34
27,45	0,92	27,45
27,54	0,93	27,54
27,65	0,94	27,65
27,74	0,95	27,74
27,83	0,96	27,83
27,92	0,97	27,92
28,02	0,98	28,02
28,10	0,99	28,10
28,19	1,00	28,19
28,28	1,01	28,28
28,37	1,02	28,37
28,44	1,03	28,44
28,55	1,04	28,55
28,64	1,05	28,64
28,71	1,06	28,71
28,79	1,07	28,79
28,88	1,09	28,88
28,95	1,10	28,95
29,03	1,10	29,03
29,12	1,11	29,12
29,19	1,12	29,19
29,27	1,13	29,27
29,35	1,14	29,35
29,42	1,14	29,42
29,50	1,15	29,50
29,57	1,16	29,57
29,65	1,17	29,65
29,71	1,17	29,71
29,78	1,18	29,78
29,86	1,18	29,86
29,93	1,18	29,93
29,99	1,19	29,99
30,07	1,19	30,07
30,08	1,22	30,08
30,13	1,19	30,13
30,20	1,20	30,20
30,26	1,20	30,26
30,32	1,20	30,32
30,38	1,21	30,38
30,46	1,21	30,46
30,52	1,21	30,52
30,58	1,21	30,58
30,64	1,22	30,64
30,70	1,22	30,70
30,76	1,22	30,76
